Currently implemented `Console` functionality.

'command' refers to the command used in Hirvi & Ajokki. Each application defines its own commands.
'function' refers to the function that implements the functionality.
'functionality' is a short description of the functionality provided by the command.

command             function                                    functionality
-------             --------                                    -------------
entities            yli::ontology::Universe::print_entities     Prints the names and memory address of all named Entities.
parent              yli::ontology::Universe::print_parent       Prints the memory address of the parent of the named `Entity`.
set                 yli::config::SettingMaster::set_and_print   Sets the value of an existing global or `Entity`-specific `Setting`.
get                 yli::config::SettingMaster::get_and_print   Prints the value of an existing global or `Entity`-specific `Setting`.
activate            yli::ontology::Universe::activate           Activates an `Entity` that can be activated.
delete              yli::ontology::Universe::delete_entity      Deletes an `Entity` that can be deleted.
info                yli::ontology::Universe::info               Prints information.
bind                yli::ontology::Universe::bind               Binds `Entity` to another `Entity`. Both child-parent and master-apprentice are supported.
AnyValueEntity      yli::ontology::Universe::create_AnyValue    Creates `yli::ontology::AnyValueEntity`.
AnyStructEntity     yli::ontology::Universe::create_AnyStruct   Creates  `yli::ontology::AnyStructEntity`.
bye                 app::quit                                   Quits the application.
chau                app::quit                                   Quits the application.
ciao                app::quit                                   Quits the application.
heippa              app::quit                                   Quits the application.
quit                app::quit                                   Quits the application.
sayonara            app::quit                                   Quits the application.
eval                yli::ontology::Universe::eval               Evaluates an S-expression.
help                app::help                                   Prints help.
version             hirvi::version / ajokki::version            Prints software version.
clear               yli::ontology::Console::clear               Clears the history of the `Console`.
screenshot          yli::ontology::Universe::screenshot         Takes a screenshot.
